timestamp,name,categories,zone,alert,gender,gender_conf,age_bucket,detection_type
2026-07-08 16:38:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:48,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:49,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:50,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:52,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:53,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:54,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:56,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:57,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:58,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:59,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:00,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:01,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:02,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:03,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:04,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:05,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:06,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:07,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:09,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:10,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:11,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:12,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:13,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:14,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:52,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:53,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:54,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:56,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:57,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:58,Unknown,,Crowd1,,,,,person
2026-07-08 16:39:59,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:00,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:01,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:02,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:03,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:04,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:05,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:06,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:07,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:09,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:10,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:11,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:12,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:13,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:13,Unknown,,Cloth Section,,,,,person
2026-07-08 16:40:14,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:14,Unknown,,Cloth Section,,,,,person
2026-07-08 16:40:15,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:16,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:17,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:18,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:19,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:20,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:21,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:22,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:23,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:24,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:25,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:26,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:27,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:48,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:49,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:50,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:40:52,Unknown,,Crowd1,,,,,person
